,CLUSTER_0,CLUSTER_1,CLUSTER_2,CLUSTER_3,CLUSTER_4,CLUSTER_5
MIN,1.0,2.0,1.0,1.0,1.0,2.0
MEAN,1.2703729767769176,2.4031830238726792,1.3361696380334953,1.4080759211016003,1.2163380281690142,2.366181410974244
MAX,4.0,5.0,4.0,4.0,3.0,4.0
